Label,header text,file name,header index
Not Age,Response started,18-267 TV Service_2___Sheet1.csv,0
Not Age,Response completed,18-267 TV Service_2___Sheet1.csv,1
Not Age,IP address,18-267 TV Service_2___Sheet1.csv,2
Not Age,First Name,18-267 TV Service_2___Sheet1.csv,3
Not Age,Last Name,18-267 TV Service_2___Sheet1.csv,4
Not Age,Company,18-267 TV Service_2___Sheet1.csv,5
Not Age,Address 1,18-267 TV Service_2___Sheet1.csv,6
Not Age,Address 2,18-267 TV Service_2___Sheet1.csv,7
Not Age,Zip Code,18-267 TV Service_2___Sheet1.csv,8
Not Age,City,18-267 TV Service_2___Sheet1.csv,9
Not Age,State,18-267 TV Service_2___Sheet1.csv,10
Not Age,Phone,18-267 TV Service_2___Sheet1.csv,11
Not Age,Email Address,18-267 TV Service_2___Sheet1.csv,12
Not Age,Sessions may be audio/video recorded at the facility for internal use and market research purposes only. Are you ok with that?,18-267 TV Service_2___Sheet1.csv,13
Not Age,Would you like to be included in our database to be contacted for future survey opportunities?,18-267 TV Service_2___Sheet1.csv,14
Not Age,Which of the following bet describes the industry in which you are employed?,18-267 TV Service_2___Sheet1.csv,15
Not Age,Which of the following bet describes the role you play in purchase decisions concerning communications and television services for your household?,18-267 TV Service_2___Sheet1.csv,16
Not Age,What type of television service do you use?,18-267 TV Service_2___Sheet1.csv,17
Not Age,Which Streaming service(s) do you use?,18-267 TV Service_2___Sheet1.csv,18
Not Age,"What kind of device(s) do you have/ue for streaming entertainment?  (e.g. mobile, television, desktop, laptop, etc.)",18-267 TV Service_2___Sheet1.csv,19
Not Age,What is the name of your internet provider?,18-267 TV Service_2___Sheet1.csv,20
Not Age,"Please rate the following statements on a scale of 1 - 5 with 1 being completely dissatisfied and 5 being completely satisfied, as pertains to your internet provider.  [ Rate Experience with current Internet Provider ]",18-267 TV Service_2___Sheet1.csv,21
Not Age,"On a scale of 1 - 5, with 1 being very unfavorable and 5 being very favorable, how would you rate your overall favorability of CenturyLink?  [ Overall Favorability of CenturyLink ]",18-267 TV Service_2___Sheet1.csv,22
Not Age,"On a scale of 1 - 5, with 1 being very likely and 5 being very unlikely, how would you rate your likelihood to purchase internet from CenturyLink?  [ Likelihood to Purchase Internet from CenturyLink ]",18-267 TV Service_2___Sheet1.csv,23
Not Age,What is your Zip code?,18-267 TV Service_2___Sheet1.csv,24
Age,Into which of the following ranges does your current age fall?,18-267 TV Service_2___Sheet1.csv,25
Not Age,Which of the following categories includes your total annual household income before taxes?,18-267 TV Service_2___Sheet1.csv,26
Not Age,What is your gender?,18-267 TV Service_2___Sheet1.csv,27
Not Age,When was the last time you participated in a market research study?,18-267 TV Service_2___Sheet1.csv,28
Not Age,Do you have access to a desktop or laptop computer with high-speed internet connection for the purpose of this research?,18-267 TV Service_2___Sheet1.csv,29
Not Age,"Finally, what was the last book you read or movie you saw, and what was your favorite thing about it?",18-267 TV Service_2___Sheet1.csv,30
Not Age,"IMPORTANT:  You will need to log into the online discussion platform for NO MORE than 30 minutes per day over the 7-day period, Nov. 16th - 23rd, 2018.YOU MUST PARTICIPATE IN THE ONLINE DISCUSSION ON TIME AND DURING THE ASSIGNED TASK WINDOWS - AND COMPLETE THE ENTIRE RESEARCH PERIOD, TO RECEIVE YOUR PAYMENT.ARE YOU ABLE TO FULLY COMMIT TO THIS ASSIGNMENT?",18-267 TV Service_2___Sheet1.csv,31
Not Age,Response started,19-011 Usability Testing__Sheet1.csv,0
Not Age,Response completed,19-011 Usability Testing__Sheet1.csv,1
Not Age,IP address,19-011 Usability Testing__Sheet1.csv,2
Not Age,First Name,19-011 Usability Testing__Sheet1.csv,3
